着順,枠番,馬番,馬名,性齢,斤量,騎手,タイム,着差,ﾀｲﾑ指数,通過,上り,単勝,人気,馬体重,調教ﾀｲﾑ,厩舎ｺﾒﾝﾄ,備考,調教師,馬主,賞金(万円),会場,距離,天気,競走種別,状態,発走時間,レース
1,1,1,ケイディーズネイル,牝3,54,丸山元気,1:09.1,,**,1-1,35.3,5.7,4,422(+6),,,,[東]青木孝文,田島大史,500.0,函館,1200,曇,芝,良,09:55,1 R
2,3,6,ヤマニンヌヌース,牝3,54,藤岡佑介,1:09.3,1,**,4-4,35.1,5.5,3,446(+10),,,,[西]浅見秀一,土井肇,200.0,函館,1200,曇,芝,良,09:55,1 R
3,6,12,ゴールドシャッツ,牝3,54,丹内祐次,1:09.4,1/2,**,2-2,35.5,3.5,1,426(0),,,,[東]粕谷昌央,ビッグレッドファーム,130.0,函館,1200,曇,芝,良,09:55,1 R
4,2,4,スカイシーアキラ,牝3,54,川島信二,1:09.4,クビ,**,8-7,35.0,31.1,8,462(-2),,,,[西]山内研二,松本俊廣,75.0,函館,1200,曇,芝,良,09:55,1 R
5,4,8,アメリカンドミンゴ,牝3,54,岩田康誠,1:09.5,1/2,**,4-2,35.4,4.5,2,412(+14),,,,[西]今野貞一,吉澤克己,50.0,函館,1200,曇,芝,良,09:55,1 R
6,6,11,ミフトゥーロ,牝3,54,勝浦正樹,1:09.8,2,**,4-7,35.6,7.5,5,452(+2),,,,[東]田島俊明,藤田在子,,函館,1200,曇,芝,良,09:55,1 R
7,8,16,チムニースイーパー,牡3,56,国分恭介,1:10.1,1.3/4,**,10-10,35.5,48.0,10,404(+8),,,,[西]森田直行,吉田千津,,函館,1200,曇,芝,良,09:55,1 R
8,5,10,デルマシードル,牝3,54,横山和生,1:10.1,アタマ,**,16-16,34.7,94.9,13,430(+2),,,,[東]和田勇介,浅沼廣幸,,函館,1200,曇,芝,良,09:55,1 R
9,1,2,シーカー,牝3,53,木幡初也,1:10.2,クビ,**,10-11,35.6,130.6,15,444(0),,,,[東]林徹,松田整二,,函館,1200,曇,芝,良,09:55,1 R
10,3,5,ハナオウギ,牝3,54,黛弘人,1:10.2,アタマ,**,8-9,35.8,205.8,16,428(+10),,,,[東]和田雄二,ヒダカファーム,,函館,1200,曇,芝,良,09:55,1 R
11,2,3,ペイシャプレゼント,牝3,51,西村淳也,1:10.3,3/4,**,13-13,35.4,29.3,7,418(+8),,,,[東]高市圭二,北所直人,,函館,1200,曇,芝,良,09:55,1 R
12,8,15,ショーコーズ,牝3,51,横山武史,1:10.3,ハナ,**,4-4,36.2,12.6,6,436(0),,,,[東]鈴木伸尋,吉冨学,,函館,1200,曇,芝,良,09:55,1 R
13,5,9,アルマアノン,牝3,54,北村友一,1:10.3,アタマ,**,12-12,35.5,35.0,9,450(+4),,,,[西]佐々木晶,コウトミックレーシング,,函館,1200,曇,芝,良,09:55,1 R
14,7,14,コルニヨン,牝3,52,菊沢一樹,1:10.6,1.3/4,**,13-13,35.6,53.5,11,436(+10),,,,[東]田中清隆,矢野秀春,,函館,1200,曇,芝,良,09:55,1 R
15,7,13,キュプリーヌス,牝3,54,五十嵐冬,1:10.6,アタマ,**,15-15,35.5,121.2,14,414(-2),,,,[東]小桧山悟,広富牧場,,函館,1200,曇,芝,良,09:55,1 R
16,4,7,セイルフィッシュ,牝3,54,藤岡康太,1:11.7,7,**,2-4,37.7,53.7,12,462(-18),,,,[西]藤岡健一,下河辺牧場,,函館,1200,曇,芝,良,09:55,1 R
